epoch,step,train_loss,val_loss
0,49,0.17177879810333252,
0,99,0.1412712037563324,
0,123,,0.12626051902770996
1,149,0.08219067007303238,
1,199,0.04071101173758507,
1,247,,0.02968514710664749
2,249,0.0241132490336895,
2,299,0.015285754576325417,
2,349,0.012064189650118351,
2,371,,0.01258094422519207
3,399,0.01054044533520937,
3,449,0.009198692627251148,
3,495,,0.009949520230293274
4,499,0.008914566598832607,
4,549,0.007712934166193008,
4,599,0.007352970540523529,
4,619,,0.007678114343434572
5,649,0.007271533366292715,
